Customer Name,Segment,Customer ID
Aaron Bergman,Consumer,AB-10015
Aaron Hawkins,Corporate,AH-10030
Aaron Smayling,Corporate,AS-10045
Adam Bellavance,Home Office,AB-10060
Adam Hart,Corporate,AH-10075
Adam Shillingsburg,Consumer,AS-10090
Adrian Barton,Consumer,AB-10105
Adrian Hane,Home Office,AH-10120
Adrian Shami,Home Office,AS-10135
Aimee Bixby,Consumer,AB-10150
Alan Barnes,Consumer,AB-10165
Alan Dominguez,Home Office,AD-10180
Alan Haines,Corporate,AH-10195
Alan Hwang,Consumer,AH-10210
Alan Schoenberger,Corporate,AS-10225
Alan Shonely,Consumer,AS-10240
Alejandro Ballentine,Home Office,AB-10255
Alejandro Grove,Consumer,AG-10270
Alejandro Savely,Corporate,AS-10285
Aleksandra Gannaway,Corporate,AG-10300
Alex Avila,Consumer,AA-10315
Alex Grayson,Consumer,AG-10330
Alex Russell,Corporate,AR-10345
Alice McCarthy,Corporate,AM-10360
Allen Armold,Consumer,AA-10375
Allen Goldenen,Consumer,AG-10390
Allen Rosenblatt,Corporate,AR-10405
Alyssa Crouse,Corporate,AC-10420
Alyssa Tate,Home Office,AT-10435
Amy Cox,Consumer,AC-10450
Amy Hunt,Consumer,AH-10465
Andrew Allen,Consumer,AA-10480
Andrew Gjertsen,Corporate,AG-10495
Andrew Roberts,Consumer,AR-10510
Andy Gerbode,Corporate,AG-10525
Andy Reiter,Consumer,AR-10540
Andy Yotov,Corporate,AY-10555
Anemone Ratner,Consumer,AR-10570
Angele Hood,Consumer,AH-10585
Ann Blume,Corporate,AB-10600
Ann Chong,Corporate,AC-10615
Ann Steele,Home Office,AS-10630
Anna Andreadi,Consumer,AA-10645
Anna Chung,Consumer,AC-10660
Anna Gayman,Consumer,AG-10675
Anna Häberlin,Corporate,AH-10690
Anne McFarland,Consumer,AM-10705
Anne Pryor,Home Office,AP-10720
Annie Thurman,Consumer,AT-10735
Annie Zypern,Consumer,AZ-10750
Anthony Garverick,Home Office,AG-10765
Anthony Jacobs,Corporate,AJ-10780
Anthony Johnson,Corporate,AJ-10795
Anthony O'Donnell,Corporate,AO-10810
Anthony Rawles,Corporate,AR-10825
Anthony Witt,Consumer,AW-10840
Arianne Irving,Consumer,AI-10855
Art Ferguson,Consumer,AF-10870
Art Foster,Consumer,AF-10885
Arthur Gainer,Consumer,AG-10900
Arthur Prichep,Consumer,AP-10915
Arthur Wiediger,Home Office,AW-10930
Ashley Jarboe,Consumer,AJ-10945
Astrea Jones,Consumer,AJ-10960
Barbara Fisher,Corporate,BF-10975
Barry Blumstein,Corporate,BB-10990
Barry Franz,Home Office,BF-11005
Barry Französisch,Corporate,BF-11020
Barry Gonzalez,Consumer,BG-11035
Barry Pond,Corporate,BP-11050
Barry Weirich,Consumer,BW-11065
Bart Folk,Consumer,BF-11080
Bart Pistole,Corporate,BP-11095
Bart Watters,Corporate,BW-11110
Becky Castell,Home Office,BC-11125
Becky Martin,Consumer,BM-11140
Becky Pak,Consumer,BP-11155
Ben Ferrer,Home Office,BF-11170
Ben Peterman,Corporate,BP-11185
Ben Wallace,Consumer,BW-11200
Benjamin Farhat,Home Office,BF-11215
Benjamin Patterson,Consumer,BP-11230
Benjamin Venier,Corporate,BV-11245
Berenike Kampe,Consumer,BK-11260
Beth Fritzler,Corporate,BF-11275
Beth Paige,Consumer,BP-11290
Beth Thompson,Home Office,BT-11305
Bill Donatelli,Consumer,BD-11320
Bill Eplett,Home Office,BE-11335
Bill Overfelt,Corporate,BO-11350
Bill Shonely,Corporate,BS-11365
Bill Stewart,Corporate,BS-11380
Bill Tyler,Corporate,BT-11395
Bobby Elias,Consumer,BE-11410
Bobby Odegard,Consumer,BO-11425
Bobby Trafton,Consumer,BT-11440
Brad Eason,Home Office,BE-11455
Brad Norvell,Corporate,BN-11470
Brad Thomas,Home Office,BT-11485
Bradley Drucker,Consumer,BD-11500
Bradley Nguyen,Consumer,BN-11515
Bradley Talbott,Home Office,BT-11530
Brenda Bowman,Corporate,BB-11545
Brendan Dodson,Home Office,BD-11560
Brendan Murry,Corporate,BM-11575
Brendan Sweed,Corporate,BS-11590
Brian Dahlen,Consumer,BD-11605
Brian DeCherney,Consumer,BD-11620
Brian Derr,Consumer,BD-11635
Brian Moss,Corporate,BM-11650
Brian Stugart,Consumer,BS-11665
Brian Thompson,Consumer,BT-11680
Brooke Gillingham,Corporate,BG-11695
Brosina Hoffman,Consumer,BH-11710
Bruce Degenhardt,Consumer,BD-11725
Bruce Geld,Consumer,BG-11740
Bruce Stewart,Consumer,BS-11755
Bryan Davis,Consumer,BD-11770
Bryan Mills,Consumer,BM-11785
Bryan Spruell,Home Office,BS-11800
Candace McMahon,Corporate,CM-11815
Cari Sayre,Corporate,CS-11845
Cari Schnelling,Consumer,CS-11860
Carl Jackson,Corporate,CJ-11875
Carl Ludwig,Consumer,CL-11890
Carl Weiss,Home Office,CW-11905
Carlos Daly,Consumer,CD-11920
Carlos Meador,Consumer,CM-11935
Carlos Soltero,Consumer,CS-11950
Carol Adams,Corporate,CA-11965
Carol Darley,Consumer,CD-11980
Carol Triggs,Consumer,CT-11995
Caroline Jumper,Consumer,CJ-12010
Cassandra Brandow,Consumer,CB-12025
Catherine Glotzbach,Home Office,CG-12040
Cathy Armstrong,Home Office,CA-12055
Cathy Hwang,Home Office,CH-12070
Cathy Prescott,Corporate,CP-12085
Chad Cunningham,Home Office,CC-12100
Chad McGuire,Consumer,CM-12115
Chad Sievert,Consumer,CS-12130
Charles Crestani,Consumer,CC-12145
Charles McCrossin,Consumer,CM-12160
Charles Sheldon,Corporate,CS-12175
Charlotte Melton,Consumer,CM-12190
Chloris Kastensmidt,Consumer,CK-12205
Chris Cortes,Consumer,CC-12220
Chris McAfee,Consumer,CM-12235
Chris Selesnick,Corporate,CS-12250
Christina Anderson,Consumer,CA-12265
Christina DeMoss,Consumer,CD-12280
Christina VanderZanden,Consumer,CV-12295
Christine Abelman,Corporate,CA-12310
Christine Kargatis,Home Office,CK-12325
Christine Phan,Corporate,CP-12340
Christine Sundaresam,Consumer,CS-12355
Christopher Conant,Consumer,CC-12370
Christopher Martinez,Consumer,CM-12385
Christopher Schild,Home Office,CS-12400
Christy Brittain,Consumer,CB-12415
Chuck Clark,Home Office,CC-12430
Chuck Magee,Consumer,CM-12445
Chuck Sachs,Consumer,CS-12460
Cindy Chapman,Consumer,CC-12475
Cindy Schnelling,Corporate,CS-12490
Cindy Stewart,Consumer,CS-12505
Claire Gute,Consumer,CG-12520
Claudia Bergmann,Corporate,CB-12535
Clay Cheatham,Consumer,CC-12550
Clay Ludtke,Consumer,CL-12565
Clay Rozendal,Home Office,CR-12580
Clytie Kelty,Consumer,CK-12595
Corey Catlett,Corporate,CC-12610
Corey Roper,Home Office,CR-12625
Corey-Lock,Consumer,Co-12640
Corinna Mitchell,Home Office,CM-12655
Craig Carreira,Consumer,CC-12670
Craig Carroll,Consumer,CC-12685
Craig Leslie,Home Office,CL-12700
Craig Molinari,Corporate,CM-12715
Craig Reiter,Consumer,CR-12730
Craig Yedwab,Corporate,CY-12745
Cyma Kinney,Corporate,CK-12760
Cynthia Arntzen,Consumer,CA-12775
Cynthia Delaney,Home Office,CD-12790
Cynthia Voltz,Corporate,CV-12805
Cyra Reiten,Home Office,CR-12820
Damala Kotsonis,Corporate,DK-12835
Dan Campbell,Consumer,DC-12850
Dan Lawera,Consumer,DL-12865
Dan Reichenbach,Corporate,DR-12880
Dana Kaydos,Consumer,DK-12895
Daniel Byrd,Home Office,DB-12910
Daniel Lacy,Consumer,DL-12925
Daniel Raglin,Home Office,DR-12940
Dario Medina,Corporate,DM-12955
Darren Budd,Corporate,DB-12970
Darren Koutras,Consumer,DK-12985
Darren Powers,Consumer,DP-13000
Darrin Martin,Consumer,DM-13015
Darrin Sayre,Home Office,DS-13030
Darrin Van Huff,Corporate,DV-13045
Dave Brooks,Consumer,DB-13060
Dave Hallsten,Corporate,DH-13075
Dave Kipp,Consumer,DK-13090
Dave Poirier,Corporate,DP-13105
David Bremer,Corporate,DB-13120
David Flashing,Consumer,DF-13135
David Kendrick,Corporate,DK-13150
David Philippe,Consumer,DP-13165
David Smith,Corporate,DS-13180
David Wiener,Corporate,DW-13195
Dean Braden,Consumer,DB-13210
Dean Katz,Corporate,DK-13225
Dean percer,Home Office,Dp-13240
Deanra Eno,Home Office,DE-13255
Deborah Brumfield,Home Office,DB-13270
Debra Catini,Consumer,DC-13285
Deirdre Greer,Corporate,DG-13300
Delfina Latchford,Consumer,DL-13315
Denise Leinenbach,Consumer,DL-13330
Denise Monton,Corporate,DM-13345
Dennis Bolton,Home Office,DB-13360
Dennis Kane,Consumer,DK-13375
Dennis Pardue,Home Office,DP-13390
Denny Blanton,Consumer,DB-13405
Denny Joy,Corporate,DJ-13420
Denny Ordway,Consumer,DO-13435
Dianna Arnett,Home Office,DA-13450
Dianna Vittorini,Consumer,DV-13465
Dianna Wilson,Home Office,DW-13480
Dionis Lloyd,Corporate,DL-13495
Don Jones,Corporate,DJ-13510
Don Miller,Corporate,DM-13525
Don Weiss,Consumer,DW-13540
Dorothy Badders,Corporate,DB-13555
Dorothy Dickinson,Consumer,DD-13570
Dorothy Wardle,Corporate,DW-13585
Dorris liebe,Corporate,Dl-13600
Doug Bickford,Consumer,DB-13615
Doug Jacobs,Consumer,DJ-13630
Doug O'Connell,Consumer,DO-13645
Duane Benoit,Consumer,DB-13660
Duane Huffman,Home Office,DH-13675
Duane Noonan,Consumer,DN-13690
Ed Braxton,Corporate,EB-13705
Ed Jacobs,Consumer,EJ-13720
Ed Ludwig,Home Office,EL-13735
Edward Becker,Corporate,EB-13750
Edward Hooks,Corporate,EH-13765
Edward Nazzal,Consumer,EN-13780
Eileen Kiefer,Home Office,EK-13795
Eleni McCrary,Corporate,EM-13810
Elizabeth Moffitt,Corporate,EM-13825
Ellis Ballard,Corporate,EB-13840
Elpida Rittenbach,Corporate,ER-13855
Emily Burns,Consumer,EB-13870
Emily Ducich,Home Office,ED-13885
Emily Grady,Consumer,EG-13900
Emily Phan,Consumer,EP-13915
Eric Barreto,Consumer,EB-13930
Eric Hoffmann,Consumer,EH-13945
Eric Murdock,Consumer,EM-13960
Erica Bern,Corporate,EB-13975
Erica Hackney,Consumer,EH-13990
Erica Hernandez,Home Office,EH-14005
Erica Smith,Consumer,ES-14020
Erin Ashbrook,Corporate,EA-14035
Erin Creighton,Consumer,EC-14050
